uid,filename,test_id,sn,test_pressure,test_mode,vl1,vl2,vl3,anomalous,anomaly_code,cumulated_throughput,cumulated_on_time,cumulated_pulses
1,00001_001_SN01_24bars_ssf.csv,1,1,24.0,ssf,True,True,False,False,0,0.0,0.0,0.0
2,00002_002_SN01_21bars_ssf.csv,2,1,21.0,ssf,True,True,False,False,0,0.4517174714847628,0.08333333333333333,1.0
3,00003_003_SN01_18bars_ssf.csv,3,1,18.0,ssf,True,True,False,False,0,0.8422679007004166,0.16666666666666666,2.0
4,00004_004_SN01_15bars_ssf.csv,4,1,15.0,ssf,True,True,False,False,0,1.1747245171280722,0.25,3.0
5,00005_005_SN01_12bars_ssf.csv,5,1,12.0,ssf,True,True,False,False,0,1.4525863218167059,0.3333333333333333,4.0
6,00006_006_SN01_9bars_ssf.csv,6,1,9.0,ssf,True,True,False,False,0,1.6796458419281017,0.41666666666666663,5.0
7,00007_007_SN01_24bars_health_check.csv,7,1,24.0,health_check,True,True,False,False,0,1.8603221621755248,0.49999999999999994,6.0
8,00008_008_SN01_21bars_health_check.csv,8,1,21.0,health_check,True,True,False,False,0,1.9892189507107259,0.5253749999999999,189.0
9,00009_009_SN01_18bars_health_check.csv,9,1,18.0,health_check,True,True,False,False,0,2.10073190834415,0.55075,372.0
10,00010_010_SN01_15bars_health_check.csv,10,1,15.0,health_check,True,True,False,False,0,2.195540434261809,0.576125,555.0
11,00011_011_SN01_12bars_health_check.csv,11,1,12.0,health_check,True,True,False,False,0,2.2746577168603177,0.6015,738.0
12,00012_012_SN01_9bars_health_check.csv,12,1,9.0,health_check,True,True,False,False,0,2.339128398147321,0.6268750000000001,921.0
13,00013_013_SN01_24bars_ramp1.csv,13,1,24.0,ramp1,True,True,False,False,0,2.390370213899099,0.6522500000000001,1104.0
14,00014_014_SN01_24bars_ramp2.csv,14,1,24.0,ramp2,True,True,False,False,0,2.5175455966184606,0.6775277777777778,1286.0
15,00015_015_SN01_24bars_ramp3.csv,15,1,24.0,ramp3,True,True,False,False,0,2.5443027421232967,0.6828055555555557,1324.0
16,00016_016_SN01_24bars_ramp4.csv,16,1,24.0,ramp4,True,True,False,False,0,2.7050216797604234,0.7133611111111112,1343.0
17,00017_017_SN01_24bars_onmod.csv,17,1,24.0,onmod,True,True,False,False,0,3.29628999263489,0.8264166666666668,1416.0
18,00018_018_SN01_24bars_offmod.csv,18,1,24.0,offmod,True,True,False,False,0,3.4012575424381883,0.8482222222222223,2216.0
19,00019_019_SN01_24bars_random_short.csv,19,1,24.0,random_short,True,True,False,False,0,4.457029106650397,1.0593333333333335,3016.0
20,00020_020_SN01_24bars_random_long.csv,20,1,24.0,random_long,True,True,False,False,0,4.651049595062184,1.0995138888888891,3316.0
21,00021_021_SN01_24bars_random_mixed.csv,21,1,24.0,random_mixed,True,True,False,False,0,5.521479652625757,1.2711805555555558,3412.0
22,00022_022_SN01_21bars_ramp1.csv,22,1,21.0,ramp1,True,True,False,True,22.0,5.715436277427343,1.3100611111111113,3512.0
23,00023_023_SN01_21bars_ramp2.csv,23,1,21.0,ramp2,True,True,False,False,0,5.820643048846183,1.335338888888889,3694.0
24,00024_024_SN01_21bars_ramp3.csv,24,1,21.0,ramp3,True,True,False,False,0,5.8428211635461205,1.3406166666666668,3732.0
25,00025_025_SN01_21bars_ramp4.csv,25,1,21.0,ramp4,True,True,False,False,0,5.976233098219084,1.3711722222222222,3751.0
26,00026_026_SN01_21bars_onmod.csv,26,1,21.0,onmod,True,False,False,False,0,6.467875894789719,1.4842277777777777,3824.0
27,00027_027_SN01_21bars_offmod.csv,27,1,21.0,offmod,True,True,False,True,20.0,6.55699121823193,1.5065527777777776,4624.0
28,00028_028_SN01_21bars_random_short.csv,28,1,21.0,random_short,True,True,False,False,0,7.4329675333794345,1.7176638888888887,5424.0
29,00029_029_SN01_21bars_random_long.csv,29,1,21.0,random_long,True,True,False,False,0,7.596599551421656,1.7584027777777775,5724.0
30,00030_030_SN01_21bars_random_mixed.csv,30,1,21.0,random_mixed,True,True,False,False,0,8.160434183333415,1.891458333333333,5819.0
31,00031_031_SN01_18bars_ramp1.csv,31,1,18.0,ramp1,True,True,False,False,0,8.365885434086175,1.9407138888888886,5919.0
32,00032_032_SN01_18bars_ramp2.csv,32,1,18.0,ramp2,True,True,False,False,0,8.45234566335654,1.9659916666666664,6101.0
33,00033_033_SN01_18bars_ramp3.csv,33,1,18.0,ramp3,True,True,False,False,0,8.470450227853997,1.971269444444444,6139.0
34,00034_034_SN01_18bars_ramp4.csv,34,1,18.0,ramp4,True,True,False,False,0,8.580158287371992,2.0018249999999997,6158.0
35,00035_035_SN01_18bars_onmod.csv,35,1,18.0,onmod,True,False,False,True,23.0,8.9841399710807,2.114880555555555,6231.0
36,00036_036_SN01_18bars_offmod.csv,36,1,18.0,offmod,True,True,False,False,0,9.05562334613617,2.1367416666666665,7031.0
37,00037_037_SN01_18bars_random_short.csv,37,1,18.0,random_short,True,True,False,False,0,9.777992514909618,2.347852777777778,7831.0
38,00038_038_SN01_18bars_random_long.csv,38,1,18.0,random_long,True,True,False,False,0,9.910688830552683,2.388025,8131.0
39,00039_039_SN01_18bars_random_mixed.csv,39,1,18.0,random_mixed,True,True,False,False,0,10.34184515954078,2.5113583333333334,8226.0
40,00040_040_SN01_24bars_ssf.csv,40,1,24.0,ssf,True,True,False,False,0,10.500374305646096,2.557366666666667,8326.0
41,00041_041_SN01_21bars_ssf.csv,41,1,21.0,ssf,True,True,False,False,0,10.892123731997758,2.6407000000000003,8327.0
42,00042_042_SN01_18bars_ssf.csv,42,1,18.0,ssf,True,True,False,False,0,11.230924758672966,2.7240333333333338,8328.0
43,00043_043_SN01_15bars_ssf.csv,43,1,15.0,ssf,True,True,False,False,0,11.519510679737968,2.8073666666666672,8329.0
44,00044_044_SN01_12bars_ssf.csv,44,1,12.0,ssf,True,True,False,False,0,11.76078993767696,2.8907000000000007,8330.0
45,00045_045_SN01_9bars_ssf.csv,45,1,9.0,ssf,True,True,False,False,0,11.95801461284677,2.974033333333334,8331.0
46,00046_046_SN01_24bars_health_check.csv,46,1,24.0,health_check,True,True,False,False,0,12.115014356755209,3.0573666666666677,8332.0
47,00047_047_SN01_21bars_health_check.csv,47,1,21.0,health_check,True,True,False,False,0,12.22701343947658,3.0827416666666676,8515.0
48,00048_048_SN01_18bars_health_check.csv,48,1,18.0,health_check,True,True,False,False,0,12.323677759146378,3.1081166666666675,8698.0
49,00049_049_SN01_15bars_health_check.csv,49,1,15.0,health_check,True,True,False,False,0,12.405903470059318,3.1334916666666675,8881.0
50,00050_050_SN01_12bars_health_check.csv,50,1,12.0,health_check,True,True,False,True,31.0,12.474587992774575,3.1588666666666674,9064.0
51,00051_051_SN01_9bars_health_check.csv,51,1,9.0,health_check,True,True,False,True,22.0,12.530586102480099,3.1842416666666673,9247.0
52,00052_052_SN01_15bars_ramp1.csv,52,1,15.0,ramp1,True,True,False,False,0,12.57512231909422,3.2096166666666672,9430.0
53,00053_053_SN01_15bars_ramp2.csv,53,1,15.0,ramp2,True,True,False,False,0,12.643197738095255,3.234894444444445,9612.0
54,00054_054_SN01_15bars_ramp3.csv,54,1,15.0,ramp3,True,True,False,False,0,12.657451479644115,3.2401722222222227,9650.0
55,00055_055_SN01_15bars_ramp4.csv,55,1,15.0,ramp4,True,True,False,False,0,12.744423499898113,3.270727777777778,9669.0
56,00056_056_SN01_15bars_onmod.csv,56,1,15.0,onmod,True,False,False,False,0,13.064618471370723,3.3837833333333336,9742.0
57,00057_057_SN01_15bars_offmod.csv,57,1,15.0,offmod,True,True,False,False,0,13.121283310384952,3.4057861111111114,10542.0
58,00058_058_SN01_15bars_random_short.csv,58,1,15.0,random_short,True,True,False,False,0,13.691694233271297,3.6168972222222227,11342.0
59,00059_059_SN01_15bars_random_long.csv,59,1,15.0,random_long,True,True,False,False,0,13.79871279428445,3.6578861111111114,11642.0
60,00060_060_SN01_15bars_random_mixed.csv,60,1,15.0,random_mixed,True,True,False,False,0,14.196659719206018,3.801219444444445,11743.0
61,00061_061_SN01_12bars_ramp1.csv,61,1,12.0,ramp1,True,True,False,False,0,14.287150150244697,3.834536111111112,11843.0
62,00062_062_SN01_12bars_ramp2.csv,62,1,12.0,ramp2,True,True,False,False,0,14.341237879842403,3.8598138888888895,12025.0
63,00063_063_SN01_12bars_ramp3.csv,63,1,12.0,ramp3,True,True,False,False,0,14.352562630443455,3.8650916666666673,12063.0
64,00064_064_SN01_12bars_ramp4.csv,64,1,12.0,ramp4,True,True,False,False,0,14.421744512163691,3.8956472222222227,12082.0
65,00065_065_SN01_12bars_onmod.csv,65,1,12.0,onmod,True,False,False,False,0,14.6768123645323,4.008702777777779,12155.0
66,00066_066_SN01_12bars_offmod.csv,66,1,12.0,offmod,True,True,False,False,0,14.721811034903082,4.0305694444444455,12955.0
67,00067_067_SN01_12bars_random_short.csv,67,1,12.0,random_short,True,True,False,False,0,15.176136033059239,4.241680555555557,13755.0
68,00068_068_SN01_12bars_random_long.csv,68,1,12.0,random_long,True,True,False,True,27.0,15.260866840566617,4.282366666666668,14055.0
69,00069_069_SN01_12bars_random_mixed.csv,69,1,12.0,random_mixed,True,True,False,True,28.0,15.585887389188217,4.429033333333335,14151.0
70,00070_070_SN01_9bars_ramp1.csv,70,1,9.0,ramp1,True,True,False,False,0,15.649896869805152,4.45856388888889,14251.0
